Label,Desc,Decision Option,Trade_off
Excluding Family Labour,1,rice-maize-coconut-areca palm,-147.1028509
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5098.172322
Excluding Family Labour,1,rice-maize-coconut-areca palm,-9.054953734
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1350.962926
Excluding Family Labour,1,rice-maize-coconut-areca palm,3796.315961
Excluding Family Labour,1,rice-maize-coconut-areca palm,2673.0356
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4024.320598
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4953.255286
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3140.963693
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2428.657031
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2165.152025
Excluding Family Labour,1,rice-maize-coconut-areca palm,-8451.873907
Excluding Family Labour,1,rice-maize-coconut-areca palm,-623.115178
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4324.702024
Excluding Family Labour,1,rice-maize-coconut-areca palm,12557.23534
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6631.664278
Excluding Family Labour,1,rice-maize-coconut-areca palm,-9814.00666
Excluding Family Labour,1,rice-maize-coconut-areca palm,4612.453098
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2724.381134
Excluding Family Labour,1,rice-maize-coconut-areca palm,1359.847775
Excluding Family Labour,1,rice-maize-coconut-areca palm,3223.068365
Excluding Family Labour,1,rice-maize-coconut-areca palm,6074.890555
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5127.88039
