Label,Desc,Decision Option,Tradeoff
Including Family Labour,2,rubber-areca palm-durian,15026.04027
Including Family Labour,2,rubber-areca palm-durian,11980.40369
Including Family Labour,2,rubber-areca palm-durian,15110.08244
Including Family Labour,2,rubber-areca palm-durian,17690.37439
Including Family Labour,2,rubber-areca palm-durian,15508.44827
Including Family Labour,2,rubber-areca palm-durian,9488.943444
Including Family Labour,2,rubber-areca palm-durian,10211.35079
Including Family Labour,2,rubber-areca palm-durian,16523.07057
Including Family Labour,2,rubber-areca palm-durian,17088.08599
Including Family Labour,2,rubber-areca palm-durian,12286.63133
Including Family Labour,2,rubber-areca palm-durian,25359.09135
Including Family Labour,2,rubber-areca palm-durian,10067.77156
Including Family Labour,2,rubber-areca palm-durian,8452.822916
Including Family Labour,2,rubber-areca palm-durian,-1139.033255
Including Family Labour,2,rubber-areca palm-durian,8349.355048
Including Family Labour,2,rubber-areca palm-durian,5150.617097
Including Family Labour,2,rubber-areca palm-durian,9383.720535
Including Family Labour,2,rubber-areca palm-durian,9916.147549
Including Family Labour,2,rubber-areca palm-durian,42819.58387
Including Family Labour,2,rubber-areca palm-durian,3019.713287
Including Family Labour,2,rubber-areca palm-durian,24314.34507
Including Family Labour,2,rubber-areca palm-durian,10055.58252
Including Family Labour,2,rubber-areca palm-durian,10592.88375
Including Family Labour,2,rubber-areca palm-durian,13915.834
Including Family Labour,2,rubber-areca palm-durian,11712.64809
Including Family Labour,2,rubber-areca palm-durian,16193.16881
Including Family Labour,2,rubber-areca palm-durian,15305.37314
Including Family Labour,2,rubber-areca palm-durian,15305.15725
Including Family Labour,2,rubber-areca palm-durian,20024.48838
Including Family Labour,2,rubber-areca palm-durian,19480.11413
Including Family Labour,2,rubber-areca palm-durian,8508.085458
Including Family Labour,2,rubber-areca palm-durian,24109.3553
Including Family Labour,2,rubber-areca palm-durian,12031.50733
Including Family Labour,2,rubber-areca palm-durian,10200.89924
Including Family Labour,2,rubber-areca palm-durian,6635.926606
Including Family Labour,2,rubber-areca palm-durian,17346.62049
Including Family Labour,2,rubber-areca palm-durian,5561.586531
Including Family Labour,2,rubber-areca palm-durian,30729.34103
Including Family Labour,2,rubber-areca palm-durian,8023.600863
Including Family Labour,2,rubber-areca palm-durian,10819.3731
Including Family Labour,2,rubber-areca palm-durian,13118.96858
Including Family Labour,2,rubber-areca palm-durian,16209.94109
Including Family Labour,2,rubber-areca palm-durian,20714.96419
Including Family Labour,2,rubber-areca palm-durian,22678.75342
Including Family Labour,2,rubber-areca palm-durian,6203.995397
Including Family Labour,2,rubber-areca palm-durian,20738.04077
Including Family Labour,2,rubber-areca palm-durian,1828.647132
Including Family Labour,2,rubber-areca palm-durian,29660.42504
Including Family Labour,2,rubber-areca palm-durian,12853.86255
Including Family Labour,2,rubber-areca palm-durian,8031.738855
Including Family Labour,2,rubber-areca palm-durian,5150.659486
Including Family Labour,2,rubber-areca palm-durian,3941.118012
Including Family Labour,2,rubber-areca palm-durian,5728.793214
Including Family Labour,2,rubber-areca palm-durian,4121.798428
Including Family Labour,2,rubber-areca palm-durian,19563.41388
Including Family Labour,2,rubber-areca palm-durian,9304.474493
Including Family Labour,2,rubber-areca palm-durian,8929.823478
Including Family Labour,2,rubber-areca palm-durian,8869.102597
Including Family Labour,2,rubber-areca palm-durian,8592.479024
Including Family Labour,2,rubber-areca palm-durian,14187.57585
Including Family Labour,2,rubber-areca palm-durian,4347.937239
Including Family Labour,2,rubber-areca palm-durian,8591.540715
Including Family Labour,2,rubber-areca palm-durian,15296.17204
Including Family Labour,2,rubber-areca palm-durian,8886.090593
Including Family Labour,2,rubber-areca palm-durian,23133.6444
Including Family Labour,2,rubber-areca palm-durian,10086.6796
Including Family Labour,2,rubber-areca palm-durian,12830.49694
Including Family Labour,2,rubber-areca palm-durian,24714.35327
Including Family Labour,2,rubber-areca palm-durian,10001.4079
Including Family Labour,2,rubber-areca palm-durian,31441.40555
Including Family Labour,2,rubber-areca palm-durian,14535.15297
Including Family Labour,2,rubber-areca palm-durian,10382.13736
Including Family Labour,2,rubber-areca palm-durian,5470.02027
Including Family Labour,2,rubber-areca palm-durian,4145.687715
Including Family Labour,2,rubber-areca palm-durian,21912.32974
Including Family Labour,2,rubber-areca palm-durian,20744.30068
Including Family Labour,2,rubber-areca palm-durian,11762.00655
Including Family Labour,2,rubber-areca palm-durian,17388.23888
Including Family Labour,2,rubber-areca palm-durian,14082.34964
Including Family Labour,2,rubber-areca palm-durian,13071.38296
Including Family Labour,2,rubber-areca palm-durian,5892.532152
Including Family Labour,2,rubber-areca palm-durian,16024.14592
Including Family Labour,2,rubber-areca palm-durian,14549.93386
Including Family Labour,2,rubber-areca palm-durian,27669.67525
Including Family Labour,2,rubber-areca palm-durian,9265.358501
Including Family Labour,2,rubber-areca palm-durian,11595.02803
Including Family Labour,2,rubber-areca palm-durian,17817.20241
Including Family Labour,2,rubber-areca palm-durian,8310.563973
Including Family Labour,2,rubber-areca palm-durian,19274.47878
Including Family Labour,2,rubber-areca palm-durian,7395.684726
Including Family Labour,2,rubber-areca palm-durian,17329.20551
Including Family Labour,2,rubber-areca palm-durian,6536.185112
Including Family Labour,2,rubber-areca palm-durian,14086.59758
Including Family Labour,2,rubber-areca palm-durian,4629.898334
Including Family Labour,2,rubber-areca palm-durian,9457.510745
Including Family Labour,2,rubber-areca palm-durian,7404.352044
Including Family Labour,2,rubber-areca palm-durian,3291.69254
Including Family Labour,2,rubber-areca palm-durian,13757.64648
Including Family Labour,2,rubber-areca palm-durian,7004.221275
Including Family Labour,2,rubber-areca palm-durian,19604.69047
Including Family Labour,2,rubber-areca palm-durian,8807.505741
Including Family Labour,2,rubber-areca palm-durian,8141.594535
